sample,fold,panel,spotset,caliber,k,n_spots,rnbr_med,rnbr_mean,rnbr_q25,rnbr_q75
INT2,3,trainHVG737,all,cp10k_full,6,2580,0.06891265593204991,0.08786461603549778,0.03688255628462338,0.12307529582042998
INT1,4,trainHVG737,all,log1p_raw,6,1084,0.14035373523323738,0.16523647881866946,0.07813066014265652,0.21795183527625184
INT1,4,trainHVG737,all,cp10k_panel,6,1084,0.07309539211411949,0.07876986172855659,0.029929480022573885,0.11979305535019219
INT1,4,trainHVG737,all,cp10k_full,6,1084,0.0498349615469335,0.06036095859983058,0.010046441868348603,0.09433265764923007
INT22,4,trainHVG737,all,log1p_raw,6,3829,0.35158626405922816,0.3825910131007024,0.2600602258517342,0.47424372354304795
INT22,4,trainHVG737,all,cp10k_panel,6,3829,0.14482597795177898,0.1842639833168295,0.09607313980630569,0.23183110963380693
INT22,4,trainHVG737,all,cp10k_full,6,3829,0.11533747799547672,0.1721119267481898,0.06626807655704572,0.23541060441926798
INT21,4,trainHVG737,all,log1p_raw,6,4975,0.47963907828161456,0.49608251640492584,0.3693699307179271,0.6080053662417712
INT21,4,trainHVG737,all,cp10k_panel,6,4975,0.2781977225648424,0.3124313902976726,0.19249939167822253,0.40259289247006774
INT21,4,trainHVG737,all,cp10k_full,6,4975,0.21725697840164937,0.27184355478213823,0.12373556099855999,0.37306819492751225
INT20,4,trainHVG737,all,log1p_raw,6,4860,0.31068598020605165,0.33554220498227194,0.2195606392110226,0.4253031055172953
INT20,4,trainHVG737,all,cp10k_panel,6,4860,0.17432274777381165,0.1971879772517676,0.11877654140561357,0.2536248501055633
INT20,4,trainHVG737,all,cp10k_full,6,4860,0.13451079147840223,0.17068450147894834,0.08209971318208537,0.2261936786166056
INT19,5,trainHVG737,all,log1p_raw,6,4948,0.2752211034167305,0.31421925550377455,0.19210749671242122,0.4082516383126531
INT19,5,trainHVG737,all,cp10k_panel,6,4948,0.15317170091533375,0.1738817525420391,0.10059927007511364,0.227533099203171
INT19,5,trainHVG737,all,cp10k_full,6,4948,0.10035993128188667,0.1283947820155853,0.059541614908429935,0.17033638596652018
INT18,5,trainHVG737,all,log1p_raw,6,4915,0.5918023499080665,0.588300495473915,0.4385345473106896,0.7338148302087262
INT18,5,trainHVG737,all,cp10k_panel,6,4915,0.33196953639448346,0.32622065241783943,0.22538327463305113,0.421153879145244
INT18,5,trainHVG737,all,cp10k_full,6,4915,0.23867275894976167,0.25530773520941624,0.14943839371514758,0.34194515050151386
INT17,5,trainHVG737,all,log1p_raw,6,3585,0.3619688180745534,0.3856233780788343,0.24536853097863537,0.5042692685392481
INT17,5,trainHVG737,all,cp10k_panel,6,3585,0.202064308317437,0.2219924911074666,0.12939432995984312,0.2941946850546999
INT17,5,trainHVG737,all,cp10k_full,6,3585,0.1626219876810158,0.19706632133420024,0.08880587233172747,0.2755178152379917
INT16,5,trainHVG737,all,log1p_raw,6,3206,0.2936775693865626,0.3258025486568698,0.19043738349647588,0.44608580734961506
INT16,5,trainHVG737,all,cp10k_panel,6,3206,0.138663423711399,0.17072334067226383,0.08001213311913945,0.22639444330318398
INT16,5,trainHVG737,all,cp10k_full,6,3206,0.11467081308003335,0.16348422714695537,0.05650567437335448,0.2311148788855255
