sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
INT6,2,hest_var50,all,cp10k_panel,1678,50,0.4058479460044828,0.3977869058668881,0.40316028145672855,0.39494312669903986
INT23,2,hest_var50,all,cp10k_panel,4755,50,0.2217158350451057,0.2112320836794609,0.2207665137455223,0.21197237425048002
INT8,2,hest_var50,all,cp10k_full,1949,50,0.13562393274687642,0.13617119035106195,0.13036914400324112,0.12218337594438626
INT7,2,hest_var50,all,cp10k_full,2374,50,0.1514360999332111,0.14496295907091913,0.1466627238642814,0.13632994894902958
INT6,2,hest_var50,all,cp10k_full,1678,50,0.20584839296104152,0.2066182577980992,0.19742598481829457,0.19896665078173936
INT23,2,hest_var50,all,cp10k_full,4755,50,0.058124083406838875,0.05385519028009548,0.06747392894803905,0.0721690419363339
INT8,2,trainHVG50,all,log1p_raw,1949,50,0.5601205345653841,0.5597455557739591,0.5586043493637194,0.5584359712856684
INT7,2,trainHVG50,all,log1p_raw,2374,50,0.4536834383099802,0.47354194215245954,0.451275134325402,0.47128078693118725
INT6,2,trainHVG50,all,log1p_raw,1678,50,0.5522057574479051,0.5683746678230779,0.550524934550362,0.5669225756696703
INT23,2,trainHVG50,all,log1p_raw,4755,50,0.3727610718902479,0.3902039572054937,0.37178040747730373,0.38888224858545184
INT8,2,trainHVG50,all,cp10k_panel,1949,50,0.29598447668071637,0.2970021612392796,0.2929646006375034,0.291748413050917
INT7,2,trainHVG50,all,cp10k_panel,2374,50,0.276399656032444,0.26718426431032216,0.27496954461286993,0.2621593883875602
INT6,2,trainHVG50,all,cp10k_panel,1678,50,0.40235443050414565,0.39572823544064617,0.39834453905456,0.3926347591340004
INT23,2,trainHVG50,all,cp10k_panel,4755,50,0.22924798988659664,0.21293209899601417,0.2264622112002548,0.21313773880477627
INT8,2,trainHVG50,all,cp10k_full,1949,50,0.13333026928611877,0.13003296294275624,0.12302686316523484,0.11797116050053459
INT7,2,trainHVG50,all,cp10k_full,2374,50,0.16073437788395195,0.15708752331897705,0.15370604550141143,0.1491322376150734
INT6,2,trainHVG50,all,cp10k_full,1678,50,0.2134995091859979,0.21857832328799567,0.20852893462037697,0.21126646501028845
INT23,2,trainHVG50,all,cp10k_full,4755,50,0.07322004504359084,0.06233766353169386,0.08241528313583191,0.08045963548108409
