sample,spotset,panel,caliber,sd_loglib,pred_r_her2stfit,obs_med_r,resid,extrapolated
INT18,all,trainHVG737,cp10k_panel,0.9937383264386068,0.31520094297862983,0.35290987994544737,0.03770893696681754,0
INT18,all,trainHVG737,log1p_raw,0.9937383264386068,0.31520094297862983,0.5696905893655843,0.2544896463869544,0
INT17,all,hest_var50,cp10k_panel,0.940975369638996,0.30003922471728955,0.23630485385470562,-0.06373437086258393,0
INT17,all,hest_var50,log1p_raw,0.940975369638996,0.30003922471728955,0.27869113879988705,-0.021348085917402504,0
INT17,all,trainHVG737,cp10k_panel,0.940975369638996,0.30003922471728955,0.24760631560155472,-0.05243290911573484,0
INT17,all,trainHVG737,log1p_raw,0.940975369638996,0.30003922471728955,0.3520317386690519,0.051992513951762354,0
INT16,all,hest_var50,cp10k_panel,0.4622440589211692,0.1624732182564958,0.20192089378532418,0.039447675528828385,0
INT16,all,hest_var50,log1p_raw,0.4622440589211692,0.1624732182564958,0.2971180408248403,0.13464482256834448,0
INT16,all,trainHVG737,cp10k_panel,0.4622440589211692,0.1624732182564958,0.1776932057666914,0.015219987510195598,0
INT16,all,trainHVG737,log1p_raw,0.4622440589211692,0.1624732182564958,0.34180262595559757,0.17932940769910177,0
