section,gene,n_spot,r_full,dg,crg,drg
C1,HLA-A,174,-0.08397499866632438,0.006847392321527619,0.02395567031431836,0.045373010440937486
C1,HLA-B,174,-0.01799313630306402,0.0676411987318421,0.11712993276810599,0.13099965317260456
C1,HLA-C,174,-0.1442584404073633,-0.06589688919636423,-0.017772122785928154,-0.012618283755708445
C1,HLA-E,174,-0.3382388973067995,-0.19953022358252304,-0.17937169634603625,-0.13360277811636093
C1,IDH2,174,0.11662192723972764,-0.013137395125744925,0.03507662902444688,0.008066359074144207
C1,IGKC,174,0.1648766824616648,-0.05861243683246867,0.27290698829963783,0.17847319534913605
C1,KRT18,174,-0.08370724201602504,-0.14621385614258064,-0.1838913858883532,-0.1496420574517767
C1,KRT7,174,0.42035235645084124,0.042694020481113364,0.3624540008160589,0.11894764469052216
C1,LAPTM5,174,0.1415874299008403,0.14741301035183071,0.18107682519805493,0.16064620679423533
C1,LASP1,174,0.21955385802051705,0.10383872940805595,0.1898701077142064,0.11487515608158666
C1,LMAN2,174,0.17617304073420856,0.006045307935131481,0.176586945572883,-0.006277751968988768
C1,LMNA,174,0.06033542070665614,0.01933361760292402,0.03156212429388265,0.006847171084281774
C1,LSM4,174,0.11323336685289444,0.04838910545227444,0.15899222093657586,0.02525764712519986
C1,MAP3K12,174,0.10496868078024928,0.09772513111330365,0.08149755050204044,0.12019918839552882
C1,MIDN,174,0.0327733295423825,0.10115040797537322,0.022296143574463367,0.07834362936773191
C1,MIEN1,174,0.10912531552022546,-0.07035738670452166,0.21263869990068396,0.07150191237503076
C1,MLLT6,174,0.35337871936103454,0.024497675661021727,0.33043153884022247,0.12180591657704463
C1,MMACHC,174,0.1801973933582571,-0.09225674969111225,0.06602094489426644,-0.06167945828243609
C1,MUC1,174,-0.16550568065611115,-0.0204003140084461,-0.05924995459595166,-0.0005581721015639712
C1,MYL6,174,-0.1236493932275078,-0.057997136357649366,-0.15141077460163463,-0.11755856344317571
C1,MZT2B,174,-0.3498399714563034,-0.15568112348784044,-0.1712067049776185,-0.08093988762190892
C1,NDUFA13,174,-0.25008869761680125,-0.12586334255936185,-0.21176254104538375,-0.12796955528390536
C1,NDUFB7,174,-0.10977004212238428,0.057738721154722096,-0.04443647378309645,0.056322623967998114
C1,NDUFB9,174,0.26031786245162275,0.001052057557057801,0.13336057211672733,0.0303330853971578
C1,NUPR1,174,0.03925243074560798,0.029370567656879037,0.02743108769002022,0.004508237525011894
C1,PCGF2,174,0.33648268811863524,0.1515104501810437,0.2694284803454057,0.15464879483283667
C1,PFDN5,174,-0.11858012182419447,-0.06134721200714466,-0.11419403418641132,-0.06845775060122856
