sample,fold,panel,spotset,caliber,n_spots,n_genes,med_r_trainfit,mean_r_trainfit,med_r_cv,mean_r_cv
MEND152,1,hest_var50,all,log1p_raw,3082,50,0.493930975708947,0.49351997807064923,0.49262289840997087,0.491658500039944
MEND151,1,hest_var50,all,log1p_raw,2600,50,0.5320126008034171,0.5261866291527042,0.5309911146998875,0.5243742743816558
MEND150,1,hest_var50,all,log1p_raw,1751,50,0.6646375195997956,0.6309448559033797,0.6639326633352669,0.6293920402872969
MEND149,1,hest_var50,all,log1p_raw,1851,50,0.4070246072185717,0.42690044080974454,0.4019874968539262,0.42368132779884254
MEND148,1,hest_var50,all,log1p_raw,1633,50,0.3585577772756404,0.37278993334797383,0.3539369269020758,0.36772585688470794
MEND147,1,hest_var50,all,log1p_raw,2335,50,0.4458837466852278,0.4618079063902798,0.44361100361887285,0.45939364629246754
MEND146,1,hest_var50,all,log1p_raw,1964,50,0.41483035904234744,0.4192555181652966,0.4104779212717852,0.41586995127739845
MEND145,1,hest_var50,all,log1p_raw,1418,50,0.5574040015010293,0.5643854705484643,0.554963424105957,0.5623606155778189
MEND144,1,hest_var50,all,log1p_raw,4074,50,0.2564050971934642,0.2981240061460949,0.25546244642767885,0.29645046271008296
MEND143,1,hest_var50,all,log1p_raw,3816,50,0.3005359022176315,0.3224066853103546,0.29900152998136764,0.3205329111617569
MEND142,1,hest_var50,all,log1p_raw,2997,50,0.4006686355896431,0.4222429342920696,0.39808017020987435,0.4204264720668329
MEND141,1,hest_var50,all,log1p_raw,1794,50,0.5296135981158596,0.5404572601681581,0.5270466575022081,0.5382175302436942
MEND140,1,hest_var50,all,log1p_raw,1935,50,0.5880938806168257,0.5962903583353767,0.5870753164972187,0.5949101051401537
MEND139,1,hest_var50,all,log1p_raw,3749,50,0.45863050402966904,0.4529673708445409,0.45759582785746855,0.45178083180017936
MEND153,1,hest_var50,all,cp10k_panel,1820,50,0.4707861541896764,0.4325517131506808,0.4693984217172733,0.43006222851611847
MEND152,1,hest_var50,all,cp10k_panel,3082,50,0.3856677609648405,0.36517703111221134,0.3851387731500552,0.3633812125464296
MEND151,1,hest_var50,all,cp10k_panel,2600,50,0.3391731357755479,0.34292131933807646,0.3365746749728449,0.33968096044521495
MEND150,1,hest_var50,all,cp10k_panel,1751,50,0.3918418112744213,0.36033914439099113,0.38725396971675097,0.37720877915066603
MEND149,1,hest_var50,all,cp10k_panel,1851,50,0.2785950103200612,0.2849175584391133,0.27442030334338835,0.27972267160439584
MEND148,1,hest_var50,all,cp10k_panel,1633,50,0.28197881728947166,0.2933031583007898,0.28040445204685205,0.28946343507997513
MEND147,1,hest_var50,all,cp10k_panel,2335,50,0.33400901352972634,0.343654025260426,0.3316158618305922,0.3416363891818978
MEND146,1,hest_var50,all,cp10k_panel,1964,50,0.31260597239075333,0.3101395546488989,0.3096270391411395,0.30725173428072206
MEND145,1,hest_var50,all,cp10k_panel,1418,50,0.42319263690063447,0.4253172003408436,0.4186090716867341,0.4219055328098673
MEND144,1,hest_var50,all,cp10k_panel,4074,50,0.21500951861137307,0.23221477761331147,0.2127527950721475,0.22978155445579435
MEND143,1,hest_var50,all,cp10k_panel,3816,50,0.20092713050315686,0.199674103465329,0.19887918883765138,0.19554161206014245
MEND142,1,hest_var50,all,cp10k_panel,2997,50,0.25319607882454603,0.26234898543793944,0.25145794784049486,0.25856286934485845
MEND141,1,hest_var50,all,cp10k_panel,1794,50,0.345062222889405,0.3523953508537193,0.3438834864139295,0.3496924803553606
MEND140,1,hest_var50,all,cp10k_panel,1935,50,0.35822315389484277,0.3441518557707503,0.35462733495838655,0.3506168664324742
MEND139,1,hest_var50,all,cp10k_panel,3749,50,0.28820789746878406,0.26258548060212206,0.2864339421249458,0.2582870584110672
MEND153,1,hest_var50,all,cp10k_full,1820,50,0.3483256131013105,0.3232860500779491,0.34591667089335526,0.3161250284430527
MEND152,1,hest_var50,all,cp10k_full,3082,50,0.2644642635803901,0.26145551852023535,0.2622294954213669,0.2583858537958845
MEND151,1,hest_var50,all,cp10k_full,2600,50,0.278647498604583,0.28383102953661776,0.27573058992789024,0.2829667972202662
MEND150,1,hest_var50,all,cp10k_full,1751,50,0.2917287911747022,0.29393307994363677,0.29406630215373764,0.2996923784359338
MEND149,1,hest_var50,all,cp10k_full,1851,50,0.20084625462849967,0.21501729135000924,0.19948375972034907,0.2092679316321777
MEND148,1,hest_var50,all,cp10k_full,1633,50,0.1995317784020448,0.2217995433117372,0.19567172515562936,0.21747118242821176
MEND147,1,hest_var50,all,cp10k_full,2335,50,0.23313177106385563,0.24605133348799033,0.22844872886349538,0.2422501440967125
MEND146,1,hest_var50,all,cp10k_full,1964,50,0.2372350535798097,0.24604745881599485,0.2352652933707097,0.2423042473973991
MEND145,1,hest_var50,all,cp10k_full,1418,50,0.3062380587620775,0.3163754435137241,0.29812818042383216,0.3116893920342399
MEND144,1,hest_var50,all,cp10k_full,4074,50,0.15509153873275688,0.1598544823391232,0.15208798517973196,0.15534410141479865
MEND143,1,hest_var50,all,cp10k_full,3816,50,0.13325994297004662,0.1353324461872737,0.12730689225060288,0.1301272080523907
MEND142,1,hest_var50,all,cp10k_full,2997,50,0.1710448709403412,0.18676622952834418,0.1655237912442235,0.18060013843197592
MEND141,1,hest_var50,all,cp10k_full,1794,50,0.2559852499661131,0.2666738908604935,0.2490875685738762,0.26110225619751287
MEND140,1,hest_var50,all,cp10k_full,1935,50,0.23790955589978213,0.24910164766832885,0.2322288665237816,0.24598647321176365
MEND139,1,hest_var50,all,cp10k_full,3749,50,0.19142879434085985,0.17504560998984842,0.18907855220902947,0.1737367448742556
MEND153,1,trainHVG50,all,log1p_raw,1820,50,0.5430194697389796,0.5136682900832369,0.5425090263645358,0.5119849949882501
MEND152,1,trainHVG50,all,log1p_raw,3082,50,0.41366996976604953,0.4551456225242089,0.4128286527015445,0.45474575943900747
MEND151,1,trainHVG50,all,log1p_raw,2600,50,0.46929642177458486,0.46419603115964736,0.4678859459864892,0.4613173970880343
MEND150,1,trainHVG50,all,log1p_raw,1751,50,0.6192173787628654,0.5512030452845372,0.6183076750090326,0.550686992043769
MEND149,1,trainHVG50,all,log1p_raw,1851,50,0.36774183004056515,0.3749364618507953,0.3654296638030422,0.3718553039887675
MEND148,1,trainHVG50,all,log1p_raw,1633,50,0.30619625852629617,0.3443108159851208,0.30295278966996697,0.3388861844616724
MEND147,1,trainHVG50,all,log1p_raw,2335,50,0.4173419813783336,0.4343789446965433,0.41610105476355685,0.43230534178255775
MEND146,1,trainHVG50,all,log1p_raw,1964,50,0.3942272586381691,0.41535023231672497,0.3911602477372419,0.41198358464811785
MEND145,1,trainHVG50,all,log1p_raw,1418,50,0.5025456729807716,0.5275504111668315,0.4989042824793085,0.5248389830210141
MEND144,1,trainHVG50,all,log1p_raw,4074,50,0.2667090970815753,0.3030315782178369,0.2659120171530712,0.30403750432525667
MEND143,1,trainHVG50,all,log1p_raw,3816,50,0.2811308937942476,0.31729883584356333,0.2775477929881701,0.3146446590985429
MEND142,1,trainHVG50,all,log1p_raw,2997,50,0.3697524581162485,0.3826011471999925,0.36810114798597837,0.38003782895619403
MEND141,1,trainHVG50,all,log1p_raw,1794,50,0.5028288245587503,0.5143877985875186,0.50035219942843,0.5114110887207162
MEND140,1,trainHVG50,all,log1p_raw,1935,50,0.5330942221416793,0.5143272496524819,0.5310641492919601,0.511035220047227
MEND139,1,trainHVG50,all,log1p_raw,3749,50,0.3665670611308838,0.37307240907120914,0.3648148478072254,0.36998728473342696
MEND153,1,trainHVG50,all,cp10k_panel,1820,50,0.4226639771325291,0.39523854910631395,0.42033757941005,0.3907785189553847
MEND152,1,trainHVG50,all,cp10k_panel,3082,50,0.31390168708305255,0.3178229657903016,0.3119958528787295,0.320961960871376
MEND151,1,trainHVG50,all,cp10k_panel,2600,50,0.30175025011204903,0.2538976988211024,0.29907897523203686,0.26826105981513526
MEND150,1,trainHVG50,all,cp10k_panel,1751,50,0.3347685858512994,0.2758688151442017,0.33657130019315645,0.3329669304598984
MEND149,1,trainHVG50,all,cp10k_panel,1851,50,0.26889038656822994,0.2560047767698622,0.2663098031152277,0.24979514448687337
MEND148,1,trainHVG50,all,cp10k_panel,1633,50,0.24238176756845486,0.2696776150331212,0.23774700290955586,0.26476251895594277
MEND147,1,trainHVG50,all,cp10k_panel,2335,50,0.31723733069766746,0.3244027435422806,0.3157909200242648,0.32166113587996215
MEND146,1,trainHVG50,all,cp10k_panel,1964,50,0.29499735049412734,0.3068701953781721,0.29068673691964797,0.30371309547767866
MEND145,1,trainHVG50,all,cp10k_panel,1418,50,0.3912271194721455,0.39526057857013114,0.3894835465309958,0.3919180352993024
MEND144,1,trainHVG50,all,cp10k_panel,4074,50,0.22363117928120352,0.23254639033255292,0.22181357205208724,0.23358523647357723
MEND143,1,trainHVG50,all,cp10k_panel,3816,50,0.1885502944490059,0.19240814306810955,0.18578282496521492,0.18793865076602523
MEND142,1,trainHVG50,all,cp10k_panel,2997,50,0.23806329498699277,0.24039233456503373,0.23495844187570267,0.24211155323090122
MEND141,1,trainHVG50,all,cp10k_panel,1794,50,0.3402924981929841,0.3434072888635674,0.33704493627168064,0.3397182716614953
MEND140,1,trainHVG50,all,cp10k_panel,1935,50,0.32370005056834317,0.28678350516663526,0.319988211861422,0.2962841267641183
MEND139,1,trainHVG50,all,cp10k_panel,3749,50,0.23007951856793235,0.20828566117427438,0.22757932959617427,0.21392181547390465
MEND153,1,trainHVG50,all,cp10k_full,1820,50,0.3117170888254359,0.3015669855586707,0.3096179984467133,0.29605145696171514
MEND152,1,trainHVG50,all,cp10k_full,3082,50,0.21213370751465938,0.23675096870698034,0.2078359200320925,0.24503557727110276
MEND151,1,trainHVG50,all,cp10k_full,2600,50,0.23114753582282627,0.21053974761902594,0.23247583028877628,0.25712779210362247
MEND150,1,trainHVG50,all,cp10k_full,1751,50,0.26657487311909045,0.22183074125020547,0.30252307256724825,0.2941007616704663
MEND149,1,trainHVG50,all,cp10k_full,1851,50,0.17878802996048987,0.167012536617278,0.1739837717934512,0.15946554624246587
MEND148,1,trainHVG50,all,cp10k_full,1633,50,0.1703400564485233,0.20665192364572676,0.16570056307053843,0.2016294296055522
MEND147,1,trainHVG50,all,cp10k_full,2335,50,0.21720524836469335,0.2254646941705901,0.21325583783322402,0.22072412317531842
MEND146,1,trainHVG50,all,cp10k_full,1964,50,0.23824086634566527,0.2518913912190569,0.23432524739368799,0.24676800247807787
MEND145,1,trainHVG50,all,cp10k_full,1418,50,0.27931761299744534,0.29110199966429645,0.2716426243632453,0.28606854205083043
MEND144,1,trainHVG50,all,cp10k_full,4074,50,0.16216453982900828,0.16794371111832276,0.15835579954404183,0.16769588859883341
MEND143,1,trainHVG50,all,cp10k_full,3816,50,0.12958551264942808,0.13410651099001775,0.1253212660621817,0.12824782066151383
MEND142,1,trainHVG50,all,cp10k_full,2997,50,0.15015223800776253,0.16089057585063035,0.14791215087078174,0.1675932583887533
MEND141,1,trainHVG50,all,cp10k_full,1794,50,0.23804042341935022,0.24922740598652302,0.23250957157917224,0.2429707267726042
MEND140,1,trainHVG50,all,cp10k_full,1935,50,0.2001147162023312,0.1834882444790022,0.2037420905433936,0.22350614534822544
MEND139,1,trainHVG50,all,cp10k_full,3749,50,0.13580299822403818,0.12434454777080227,0.13327456362597936,0.15215407480258725
MEND153,1,trainHVG737,all,log1p_raw,1820,737,0.501504790050943,0.5228284365267578,0.5005081046666668,0.5208998263895077
MEND152,1,trainHVG737,all,log1p_raw,3082,737,0.42369306212033586,0.45608498786636364,0.4220542774450576,0.45430685548587296
MEND151,1,trainHVG737,all,log1p_raw,2600,737,0.4888954932134059,0.49723155021532794,0.4867110231254029,0.4957543583507493
MEND150,1,trainHVG737,all,log1p_raw,1751,737,0.6136531714621063,0.6072822337367623,0.6121420514035889,0.6067053339853008
MEND149,1,trainHVG737,all,log1p_raw,1851,737,0.4112653268136167,0.430967626346357,0.40743555564859485,0.4283383705127196
MEND148,1,trainHVG737,all,log1p_raw,1633,737,0.3337263581607726,0.36116412000251424,0.3296590065273559,0.35612608108547933
MEND147,1,trainHVG737,all,log1p_raw,2335,737,0.4348543771953993,0.4659484207286228,0.43289080650706485,0.46412868896718307
MEND146,1,trainHVG737,all,log1p_raw,1964,737,0.37769207902860863,0.40933645783656425,0.3739562108809185,0.40565267773414876
MEND145,1,trainHVG737,all,log1p_raw,1418,737,0.5301363958803728,0.5591789133552987,0.5278004901247296,0.55685651779605
MEND144,1,trainHVG737,all,log1p_raw,4074,737,0.2796574309657984,0.32735734825149465,0.2776041915374602,0.32576096091143036
MEND143,1,trainHVG737,all,log1p_raw,3816,737,0.30196080196576375,0.3406528170699632,0.29951013939962207,0.33765871286578253
MEND142,1,trainHVG737,all,log1p_raw,2997,737,0.40261321395916916,0.42864277463822664,0.40076908766189623,0.42684142403878667
MEND141,1,trainHVG737,all,log1p_raw,1794,737,0.5184198424763873,0.5408722480056628,0.5165728880386204,0.5389769988008681
MEND140,1,trainHVG737,all,log1p_raw,1935,737,0.5864364273054494,0.5924141594434311,0.5852766552905523,0.5906480942639534
MEND139,1,trainHVG737,all,log1p_raw,3749,737,0.4316033702168779,0.45561475231248055,0.43017549467059363,0.4539143933516399
