section,patient,panel,target,smooth,n_genes,med_all,mean_all,heg50_mean,top50_testpcc,top100_testpcc
D6,D,hvg737_train,cp10k,raw,737,0.09680524464164252,0.09222922728023973,0.08977520386568964,0.2711316367946275,0.24650831370608625
D1,D,hvg737_train,cp10k,smooth,737,0.14944378487655263,0.14638584223955503,0.1440979201873389,0.3991549314391479,0.35579016762071397
D2,D,hvg737_train,cp10k,smooth,737,0.14012956695612278,0.13993568578225365,0.10602829185696346,0.42460515102843444,0.37897453985154267
D3,D,hvg737_train,cp10k,smooth,737,0.09550938893721621,0.0934942970060983,0.0853596675765064,0.3565360588981853,0.30910427128053036
D4,D,hvg737_train,cp10k,smooth,737,0.07539469889991736,0.07172081189048907,0.029915004686998026,0.3772839238164781,0.3313032226886938
D5,D,hvg737_train,cp10k,smooth,737,0.020887798787735133,0.018969839624496637,0.017956251901823615,0.33669668673825515,0.28849981930091806
D6,D,hvg737_train,cp10k,smooth,737,0.11078273441544646,0.10793555618414298,0.09838096837652129,0.4173160968233304,0.37130472209339643
D1,D,hvg737_train,scprep,raw,737,0.07675054614357373,0.08790951507484174,0.154307817151018,0.3437869489849328,0.28703128810413475
D2,D,hvg737_train,scprep,raw,737,0.06418987393563651,0.0721443032899826,0.11619438661785642,0.2989051199147724,0.24963026190274437
D3,D,hvg737_train,scprep,raw,737,0.052286227790253235,0.06241677744920445,0.09241690158466678,0.26938390118485755,0.2273416116946551
D4,D,hvg737_train,scprep,raw,737,0.04219922221337598,0.04800952354313225,0.07792130730925866,0.24674196118124456,0.20711691966034426
D5,D,hvg737_train,scprep,raw,737,0.02480832956398741,0.02885321431420293,0.05431569360091389,0.20720522364805086,0.17621953686671926
D6,D,hvg737_train,scprep,raw,737,0.05239463505242277,0.056731678078901136,0.0827346214887438,0.2420661163986499,0.20805182405272732
D1,D,hvg737_train,scprep,smooth,737,0.10101422468817771,0.10093161855381272,0.13325452959036657,0.38013448302444597,0.32811114417753984
D2,D,hvg737_train,scprep,smooth,737,0.07359151424472328,0.07018612616303012,0.06774164634814148,0.36528598602821044,0.3165005598778803
D3,D,hvg737_train,scprep,smooth,737,0.05447917488643558,0.05762098909635586,0.07979911759567775,0.31745945826012706,0.27306599960425215
D4,D,hvg737_train,scprep,smooth,737,0.01855123936750298,0.029085845059748927,0.02016008802029637,0.32293895490968944,0.27264541622008465
D5,D,hvg737_train,scprep,smooth,737,-0.008479262517479253,-0.0071731741996532835,0.018947285180853583,0.29566505785469166,0.24815808436679007
D6,D,hvg737_train,scprep,smooth,737,0.05537726103854426,0.059145999652863705,0.08451601769701267,0.35082473816984383,0.3045135283431579
D1,D,htg785_fixed,cp10k,raw,785,0.08455436828505183,0.09261562675629299,0.14348361664413167,0.2806296283846563,0.24110885172341937
D2,D,htg785_fixed,cp10k,raw,785,0.07657219234655248,0.08042980380432027,0.14076324488348052,0.2506357880287282,0.22037638990279362
D3,D,htg785_fixed,cp10k,raw,785,0.07319708203200419,0.07223092104978142,0.1088992823597505,0.23739057906194563,0.21105818898615514
