tag,section,patient,model,n_labeled,r_full,dg,crg,drg,drg_ci_lo,drg_ci_hi,perm_max,perm_p95,g4_pass
phikon_cat,C1,C,LAB|dc_oracle,165,0.18630635739615387,-0.01845862500388376,0.16298476377522,,,,,,
phikon_cat,C1,C,LAB|full_oracle,165,0.15687876125660874,0.03795771805890495,0.1246083857283805,0.03604586004674135,,,,,
phikon_cat,C1,C,LAB|delta_oracle,165,0.018719062753748194,0.03562623577513778,0.05620039350278872,0.03604586004674153,,,,,
phikon_cat,C1,C,LAB|comp_oracle,165,0.07293526501943373,-0.018458625003885183,,,,,,,
phikon_cat,C1,C,LAB|dc_image,165,0.1305924103043646,0.06669986206550155,0.11531645546197576,0.06669861710391424,,,,,
phikon_cat,C1,C,LAB|full_image,165,0.1290675002724004,0.0545013728807007,0.09814404972307714,0.05322767639225299,,,,,
phikon_cat,C1,C,LAB|delta_image,165,0.02220110839509378,-0.0012153187820663793,-0.0014488823100737265,-0.0022496531600905605,,,,,
phikon_cat,C1,C,LAB|comp_image,165,-0.027759671773763598,0.06669986206550123,0.02549145928455825,0.06669861710391317,,,,,
phikon_cat,C1,C,LAB|ridge_naive_labrows,165,0.23992798558734824,0.0625463484422593,0.1837876186112257,0.06524499357447906,,,,,
phikon_cat,D1,D,depth,255,0.10947088192244164,,0.05976801474129127,,,,,,
phikon_cat,D1,D,dc_image,255,0.08907847643851195,0.01747342548761249,0.05321320415042706,0.008246458675197207,,,,,
phikon_cat,D1,D,full_image,255,0.11194668123658501,0.0738013302926799,0.0814743297608587,0.06421756752427703,0.056751922236639385,0.07886393325759271,0.015550517515644666,0.009617839002251067,True
phikon_cat,D1,D,delta_image,255,0.03929031907612359,0.06535647517815735,0.030478378229267074,0.05102838566131959,0.03989786110100957,0.06481591857887889,0.020989463265581862,0.010199644294214274,False
phikon_cat,D1,D,comp_image,255,0.021556083139465002,0.017473425487612406,0.008455624635365847,0.008246458675197195,,,,,
phikon_cat,D1,D,dc_nmf,255,0.0861602564115624,0.032625688421710645,0.05621825321267856,0.02687312239483783,,,,,
phikon_cat,D1,D,full_nmf,255,0.10024538644951872,0.07095626987891224,0.07218099472388692,0.06013369445395899,,,,,
phikon_cat,D1,D,delta_nmf,255,0.024095679825461888,0.05932655981676486,0.023980309065642146,0.048220747111070335,0.03829756663079123,0.06104379202285713,0.01620903384201306,0.009121497718291353,True
phikon_cat,D1,D,comp_nmf,255,-0.011704017269048293,0.03262568842171063,0.007727832197330259,0.0268731223948379,,,,,
phikon_cat,D1,D,ridge_naive,255,0.13753690076859737,0.08652588262305683,0.09658121247702475,0.06887866442835436,0.05659086317858657,0.08275715932718448,0.017029668338354096,0.010779355828398722,True
phikon_cat,D1,D,LAB|depth,255,0.1083910734582682,,0.05578880067491553,,,,,,
phikon_cat,D1,D,LAB|dc_oracle,255,0.10531173177612708,0.05281634734940622,0.05578880067491569,,,,,,
phikon_cat,D1,D,LAB|full_oracle,255,0.106591115501443,0.06304490276948724,0.08418767883715549,0.05682419917619159,,,,,
phikon_cat,D1,D,LAB|delta_oracle,255,0.029807045983799754,0.03355032188776918,0.05906494651348014,0.05682419917619177,,,,,
phikon_cat,D1,D,LAB|comp_oracle,255,0.06793051580373159,0.05281634734940624,,,,,,,
phikon_cat,D1,D,LAB|dc_image,255,0.09379343686208758,0.04619716778056962,0.06302302269059577,0.03575996398978263,,,,,
phikon_cat,D1,D,LAB|full_image,255,0.1059440715311508,0.07737633587814252,0.07668282690797322,0.06135674366945508,,,,,
phikon_cat,D1,D,LAB|delta_image,255,0.035190464728411044,0.04566709979420848,0.02489597930349047,0.03486281788758221,,,,,
phikon_cat,D1,D,LAB|comp_image,255,0.046405644828593294,0.04619716778056962,0.029882649463141266,0.035759963989782616,,,,,
phikon_cat,D1,D,LAB|ridge_naive_labrows,255,0.13753690076859737,0.08652588262305683,0.09658121247702475,0.06887866442835436,,,,,
phikon_cat,E1,E,depth,534,-0.04610182195756606,,-0.042610373001665446,,,,,,
phikon_cat,E1,E,dc_image,534,-0.00745458851881424,0.017573885230199704,-0.018690071092306363,0.008215196863674232,,,,,
phikon_cat,E1,E,full_image,534,0.013392399519500081,0.029247245738226707,0.002415476629263466,0.018258769892165093,0.010489417689208583,0.025179976679222622,0.010265866819639091,0.006006579953481068,False
phikon_cat,E1,E,delta_image,534,0.020705597237098104,0.019627528149575735,0.015349663559220081,0.014188347531212975,0.0038165758230778125,0.01980008490308347,0.009483394538129034,0.0064660291856066905,False
phikon_cat,E1,E,comp_image,534,0.022780470342406857,0.017573885230199048,0.010396252741965227,0.008215196863674511,,,,,
phikon_cat,E1,E,dc_nmf,534,-0.001700170210935942,0.02712809087402668,-0.006613168594651419,0.01486363703523691,,,,,
phikon_cat,E1,E,full_nmf,534,0.0230545993199798,0.03701058215917172,0.010755207236102342,0.025299693770981964,,,,,
phikon_cat,E1,E,delta_nmf,534,0.03224588605205608,0.02759884544767748,0.020972571036636103,0.014054602150525782,0.005832735157203521,0.02246250965629261,0.01602009963619447,0.006447321035549088,False
phikon_cat,E1,E,comp_nmf,534,0.024914683135800073,0.02712809087402678,0.014724316344727035,0.014863637035236608,,,,,
phikon_cat,E1,E,ridge_naive,534,0.017002774260500248,0.04343996254935312,0.004537473738682224,0.02297889389560611,0.01851558575821137,0.031907105116712374,0.00898267215322425,0.004722593421718025,False
phikon_cat,E1,E,LAB|depth,534,-0.04532786543570884,,-0.0413337738132609,,,,,,
phikon_cat,E1,E,LAB|dc_oracle,534,0.011802973285282677,0.0413836129977503,-0.04133377381326128,,,,,,
phikon_cat,E1,E,LAB|full_oracle,534,0.03193943238812884,0.04184232794649242,0.01246268479044381,0.023529359899924416,,,,,
phikon_cat,E1,E,LAB|delta_oracle,534,0.013587982963762051,0.010721619617027353,0.030399238009601526,0.023529359899924565,,,,,
phikon_cat,E1,E,LAB|comp_oracle,534,0.04112968134355396,0.04138361299775015,,,,,,,
phikon_cat,E1,E,LAB|dc_image,534,-0.0016186139769921951,0.02011509940420338,-0.00869973424791319,0.011619290628752459,,,,,
phikon_cat,E1,E,LAB|full_image,534,0.022120055749163446,0.03946055146922366,0.011759031730501027,0.027708688784136043,,,,,
phikon_cat,E1,E,LAB|delta_image,534,0.027837465223852845,0.025584158644926677,0.018268557993281247,0.015170802157089696,,,,,
phikon_cat,E1,E,LAB|comp_image,534,0.02056182006403615,0.02011509940420307,0.01359965779328057,0.011619290628752485,,,,,
phikon_cat,E1,E,LAB|ridge_naive_labrows,534,0.017002774260500248,0.04343996254935312,0.004537473738682224,0.02297889389560611,,,,,
phikon_cat,F1,F,depth,659,0.022462589890105,,0.021938544835532554,,,,,,
phikon_cat,F1,F,dc_image,659,0.024727709900646103,0.024234868121535774,0.018782140911008757,0.017672540674945062,,,,,
phikon_cat,F1,F,full_image,659,0.029814274752425134,0.028615642725128673,0.02539017053898257,0.021338517810353272,0.01568610578235136,0.03035978441628082,0.00976546558266096,0.005713892439692553,False
phikon_cat,F1,F,delta_image,659,0.014211771942578773,0.013864296127523242,0.009797763361610687,0.007727443570776738,0.00273746384098303,0.015849380023593197,0.00912722770064568,0.006370319921356724,False
phikon_cat,F1,F,comp_image,659,0.018098435119331506,0.024234868121535552,0.013016684286844667,0.017672540674945277,,,,,
phikon_cat,F1,F,dc_nmf,659,0.004601891472425045,0.003166584434562747,0.0068536346895297804,0.005579052375137545,,,,,
phikon_cat,F1,F,full_nmf,659,0.017547843002377734,0.018490989126138113,0.011716935358752897,0.011778818853285302,,,,,
phikon_cat,F1,F,delta_nmf,659,0.007585635111717333,0.009128200702156237,0.005964237136040533,0.007482943981229454,0.0009894485596357219,0.015349589623701084,0.013017284714419921,0.005546623697760314,False
phikon_cat,F1,F,comp_nmf,659,-0.00021957940691567747,0.003166584434562886,0.004189026040930946,0.005579052375137361,,,,,
phikon_cat,F1,F,ridge_naive,659,0.016632854089701114,0.03197956841506682,0.01371848654982737,0.027331191316704785,0.023357068682624972,0.03459176272672427,0.0091359819195158,0.005070842177075046,False
phikon_cat,F1,F,LAB|depth,659,0.014948878169053811,,0.015609321486337374,,,,,,
phikon_cat,F1,F,LAB|dc_oracle,659,0.018575504199214284,0.014380304061608664,0.01560932148633746,,,,,,
