section,gene,r_tech,r_nbr
A1,JUNB,0.756149569835884,0.1378055819216282
A1,CAPS,0.7735546805443038,0.013255835019090825
A1,ADIRF,0.7890942632799631,0.09364863982235207
A1,MFSD12,0.7488781196287155,0.041982284194747484
A1,HN1,0.7683803769502604,-0.07325292790020489
A1,DUS1L,0.7962877312095347,0.07504401783986103
A1,PCBP2,0.7826063184370139,0.2762415101272933
A1,MCL1,0.7802138815581644,0.2058643714695457
A1,VPS28,0.7891523605476248,0.18602916216227425
A1,ELF3,0.7756233103900689,0.03300579197536759
A1,HSP90B1,0.7952436417367129,0.09178901169176752
A1,MBOAT7,0.7752516884647485,0.10523499675859016
A1,EIF5A,0.757246454238319,0.06866876745107608
A1,RABL6,0.8025870433201899,0.01864993950512934
A1,ATP5J2,0.7836761816166903,0.12284629727499721
A1,KRT8,0.8109986849306077,0.13692608040170226
A1,THY1,0.7947060653816063,0.009349565315659666
A1,MRPL37,0.7995696657494105,0.1858418985708031
A1,TIMM13,0.752708375664724,0.07903253825027665
A1,PHB2,0.7708582550314402,0.13238596379576664
A1,WDR83OS,0.7709092269157775,0.05397260522776513
A1,RAD9A,0.721846482805693,-0.10446476981220529
A1,ARPC4,0.7696627274899002,-0.0007775766654926336
A1,MAP3K12,0.7644582834581335,-0.004435920165584826
A1,AP2B1,0.7868841889977942,0.21365072677357164
A1,LPCAT1,0.7417517200164788,0.1682332611824131
A1,FBLN1,0.7781377275471343,0.11353468112459321
A1,SRRM2,0.752922713217477,0.2257174492956911
A1,ATP5I,0.7877105366693514,0.14525740213288355
A1,ATP5B,0.81238081365002,0.2464037818025805
A1,ALKBH7,0.754713923439677,0.08707815904538763
A1,NPDC1,0.7686584546729648,0.12640929471272672
A1,MRPS34,0.7401612502683642,0.09695351944534081
A1,HSP90AA1,0.7875356346898861,0.2180161400815944
A1,NINJ1,0.7873273132551271,0.3511256685237057
A1,EVA1B,0.7680730510352336,-0.06162371040021015
A1,PCOLCE,0.7899720229619659,0.03866487900133146
A1,TSPAN17,0.7586038600988723,-0.010638720736659935
A1,C9orf16,0.7745158468961596,0.15515311678348975
A1,H3F3B,0.7761262665990075,-0.0540124859688316
A1,CLDN7,0.7532332563927803,0.029603638383726115
A1,NDRG1,0.8242051768538156,0.4525434826371168
A1,TMSB4X,0.7684157281967089,0.11056074037417259
A1,ECHS1,0.7786727127190649,0.10971619059710566
A1,ECM1,0.7982580077024656,-0.03607968213106754
A1,CHD4,0.7653455518206518,0.186138350177263
A1,PTPA,0.791228575425308,0.09038707026252511
