section,gene,cross6,binary,oracle
A1,HNRNPA2B1,0.27711626340504764,0.2756513815797291,0.29096388886382757
A1,ALDOA,-0.11735243647206407,-0.09593687424378831,0.19645806521587336
A1,CD99,-0.020945189209699844,0.004121233435937607,0.05227161930085832
A1,CTSZ,-0.20729856352696374,-0.08265303613566992,0.27777515872523056
A1,DPP7,0.11826635924842377,0.035273213661477835,0.13883123403505038
A1,CD24,0.31837839061882944,0.3705108450963466,0.40159563505634704
A1,MAPKAPK2,0.05952665781271755,0.0076203462392708185,0.1349877436973726
A1,HLA-DQB1,0.01913628485490665,0.056975780188937404,0.18858774761573832
A1,HLA-DPA1,0.020560465177332794,0.16760490189249677,0.20600211757151818
A1,PSMB7,0.017554514382946633,0.005233697757100979,0.039559149903769686
A1,CAPNS1,-0.002969781649089924,0.05705761824644112,0.15553548992059263
A1,NDUFA13,-0.03246691153565889,0.006547925083526684,0.09647720264216031
A1,IGLC7,0.2498065898050231,0.055423009096563135,0.3309981944800399
A1,PRSS8,0.07424927303244694,0.08477167955399675,0.23942404655280916
A1,POLR2L,-0.04947745242678351,-0.0695472202977396,0.13388907769523906
A1,HLA-B,-0.1834645545974939,-0.23820350190423836,0.26829117574504635
A1,FLNA,0.1630668748012425,0.1825863609788239,0.2116263104397369
A1,SNRPD2,-0.2401447162715043,-0.11614795670052823,0.27147338835816837
A1,CAPG,0.06043267358981007,-0.0007992371029642492,0.1673306233407408
A1,VAMP8,0.08081879239212986,0.04482853575865902,0.14425174386363307
A1,APRT,-0.0008476098092552387,0.11184276967079193,0.16451820628856026
A1,PLD3,-0.03291027845937762,-0.06074478359672008,0.13168522586829265
A1,SPDEF,-0.026571126244507845,-0.048899561360234226,0.13045618855106259
A1,EIF4G2,0.11888357473762888,0.12061169730701826,0.1712757567651146
A1,HDLBP,0.1172441511821492,0.043997205340071316,0.17895355559036025
A1,CTTN,0.26034588731459657,0.2507504044038777,0.27765070946945336
A1,VWF,0.06834854856067715,0.15573958707183114,0.19078011596891647
A1,RHOC,0.03950091242885281,0.07580926057713883,0.23649074884472607
A1,PPP1R1B,-0.48591484448119665,0.17135558055565442,0.5086761267605848
A1,MAP2K2,-0.035702501586229334,0.19194370837127883,0.25203845191457397
A1,FXYD5,-0.015554355800681633,0.01738744614973571,0.18158433890686573
A1,PGAP3,0.10517247076132966,0.09183478494185711,0.17847975203325106
A1,UQCR11,-0.12678244131129734,0.005820939524718023,0.19021447709396597
